Gene_ID,WT_0_01,WT_0_02,CP_0_04,CP_0_05,WT_05_07,WT_05_08,CP_05_11,CP_05_12,WT_1_13,WT_1_14,CP_1_16,CP_1_17,WT_2_20,CP_2_22,CP_2_23,WT_2_25,WT_4_16,CP_4_28
SPD_0588,4036,3614,2112,1866,4652,3914,5356,6473,3478,2773,1988,2234,2974,2272,2914,2953,1185,3813
SPD_0589,1805,1425,1153,1202,4742,4318,4771,3443,3794,3610,2453,2828,3171,3525,2112,3935,1892,3631
SPD_0590,5138,4165,3066,2953,11982,10223,11815,13372,9037,7708,5224,6033,7757,6577,6707,9351,3944,10027
SPD_0591,4675,3626,3707,2994,8242,8145,9610,7090,7354,6714,4764,5987,5850,5230,4382,7324,3795,6569
rsuA-2,287,261,58,78,184,218,182,122,190,158,59,74,227,150,176,245,130,267
SPD_0593,139434,122307,62984,63531,41223,31220,37284,50784,51642,35914,16285,18403,40795,32902,41349,59263,24948,75998
SPD_0594,38902,32523,21834,20445,10204,10204,10619,9053,12672,11627,5362,6445,10480,7809,7978,14430,6319,14595
SPD_0595,419,339,253,181,256,245,231,160,226,193,123,179,257,202,152,293,157,399
SPD_0596,1213,1057,577,637,1064,910,1023,1073,775,755,544,686,726,574,577,585,305,671
SPD_0597,501,435,220,234,479,450,529,470,312,304,260,341,417,240,248,197,96,221
murD,13003,11444,10113,10549,21674,16579,25396,36429,13739,10157,9166,10803,11300,11008,13789,8628,3948,16249
murG,9880,8685,7339,7543,12136,9645,13645,18936,8085,6176,5079,5701,5886,5396,6372,4372,1881,7244
divIB,20053,16019,15796,14823,18098,16371,21226,19672,13971,13090,9237,10918,10191,9579,9390,7853,3467,10667
SPD_0601,1787,1582,1634,1407,1360,1171,1443,1445,1077,1030,736,813,834,775,652,596,257,729
SPD_0602,2452,1857,1864,1556,1564,1311,1678,1626,1148,1100,824,958,936,825,725,549,313,893
SPD_0603,3106,2050,1847,1352,2047,1748,2224,1853,1547,1547,1060,1387,1529,1039,1357,976,371,1457
SPD_0604,5034,3532,3124,2656,2207,2139,2530,2012,2124,2094,1569,1988,1377,1530,1570,1268,671,1488
SPD_0605,5660,4229,3569,3088,2235,2204,1991,1760,2347,2148,1465,1738,1376,1492,1538,888,686,1602
SPD_0606,4559,3308,2570,2277,1443,1336,1209,1186,1439,1478,896,1057,856,910,940,675,355,987
SPD_0607,8,8,6,8,0,0,2,5,8,5,0,3,10,1,4,1,0,2
SN12,674,580,443,446,4530,3966,1439,957,1536,1557,430,462,2210,2715,1101,3350,1630,4486
pyrF,2448,2175,4288,4492,93460,70525,31479,39794,25101,19722,4416,5240,42214,28960,30230,39776,18391,72482
pyrE,3652,3171,7104,7360,120103,95729,40671,45285,32713,27664,5933,7440,55203,33491,34299,50817,23075,73817
SPD_0610,4074,3187,5106,4684,24812,21414,9105,8395,9231,8664,1869,2708,15100,7431,6406,8637,4941,13002
SPD_0611,4024,3100,4638,4202,21005,18041,6641,5966,6332,5916,1655,1932,8391,4752,4182,5140,3103,7446
SPD_0612,1563,1050,1747,1539,9768,8310,3176,2987,2468,2855,808,933,3940,1603,1508,1222,745,2021
SPD_0613,2275,1719,2900,2602,14167,12581,4892,4532,4403,4480,1260,1631,5550,2518,2085,1766,1259,2247
SPD_0614,2175,1800,3308,3193,17074,15435,6141,4713,4938,5099,1445,1872,6750,2925,2559,1839,1187,2418
SPD_0615,95,65,56,63,579,506,449,469,359,329,223,197,432,225,319,255,172,361
glnQ2,56,72,40,22,302,290,239,282,216,257,107,123,303,152,206,209,141,271
SPD_0617,36,53,28,45,325,282,267,281,252,199,118,136,282,118,183,167,104,258
SPD_0618,48,50,29,31,263,188,215,346,209,175,107,123,253,154,208,205,92,230
SPD_0619,79,76,72,72,202,164,211,142,171,128,47,86,173,55,62,230,108,109
lysS,54093,47857,34206,34968,45124,37880,44587,50890,37339,31605,21812,24292,34993,33625,40399,36687,15230,62255
lctO,24552,23580,21701,21750,92926,71294,103586,152163,36493,30374,29581,34643,33180,23432,27298,32477,15364,38004
SN13,4017,3282,2849,2579,1283,1342,1770,1125,1127,1120,882,997,1185,1006,772,1483,968,1416
SPD_0622,16766,14609,9978,9614,5199,4557,6604,6885,4355,4656,3084,3865,3906,2724,3188,3604,1920,4331
thiM,13693,11444,7645,7307,4559,4202,5694,5244,3815,3993,2629,3798,3765,2194,2471,2554,1492,2983
thiE-1,8449,7349,4961,4414,2850,2626,3467,3084,2691,2617,1926,2741,2515,1642,1703,1888,998,1894
trn0358,2032,1678,1130,1006,738,761,846,569,681,770,483,732,738,432,464,490,329,533
SPD_0625,241,203,72,140,398,358,403,454,436,466,322,506,595,230,352,242,202,429
SPD_0626,555,482,241,264,851,791,847,1050,951,947,629,874,1154,486,755,513,238,877
SPD_0627,261,206,68,90,348,290,304,326,321,349,272,301,332,184,247,136,84,264
tenA,237,200,118,87,393,370,379,299,335,341,304,430,438,220,300,125,98,274
thiW,194,207,78,72,382,310,318,415,290,329,254,354,371,185,225,91,75,222
SPD_0630,347,305,128,165,562,472,558,682,513,479,426,566,556,319,426,171,69,308
thiE,303,296,151,158,529,408,433,576,421,403,298,529,520,253,361,202,66,327
thiD,13084,11195,8250,8226,10592,9282,13336,13438,4715,4188,2746,2945,4675,2317,3314,6916,3024,8704
SPD_0633,452,369,212,222,276,239,101,138,437,300,117,100,252,165,205,164,72,149
SPD_0634,536,453,230,251,341,284,125,166,452,382,128,162,259,157,213,169,147,176
SPD_0635,3487,3173,1782,1692,2461,1971,952,1184,2977,2602,934,1094,1760,1100,1344,1001,426,1154
spxB,435063,381222,487884,464922,1441106,1214962,1674356,2016031,552767,459712,346602,429068,526685,256270,312507,505119,215139,515790
SPD_0637,15249,12531,14635,13096,11161,9117,4993,5622,10071,9292,2480,3665,16356,6348,7988,20129,9856,20922
SPD_0638,7,4,2,0,8,10,11,9,12,5,20,14,7,9,9,8,24,8
SPD_0639,5,2,0,0,9,9,1,6,15,6,5,14,7,5,5,6,3,8
SPD_0640,29,20,15,22,13,21,16,7,15,20,8,16,71,24,39,35,29,36
manA,2500,2145,1713,1692,11990,9241,11756,15375,10087,8074,5127,6189,7872,6427,6942,5438,2407,6928
SPD_0642,670,601,330,276,86,108,74,82,121,134,51,46,73,107,121,85,77,184
SPD_0643,735,730,615,728,1751,1591,2194,2313,876,851,620,862,1014,787,920,1104,455,1317
SPD_0644,7021,5977,3986,4024,3824,3397,5745,6808,2484,2103,1871,2294,2131,2044,2308,1968,826,3139
SPD_0645,14935,13204,8304,8985,10570,8608,15328,18691,7099,6350,6007,7208,6279,6724,6997,5868,2461,9238
SPD_0646,55582,48944,24773,24373,16786,14119,18497,21293,10454,8388,6266,7311,8429,6304,7346,6765,3335,9929
SPD_0647,640,576,539,448,3301,3232,4306,3650,3504,3321,2591,2852,2956,3455,2806,2764,1311,3340
SPD_0648,577,604,398,363,2197,1899,2832,3529,1947,1618,1136,1265,1619,1352,1501,1276,520,1814
upp,43444,38084,31351,30415,36539,31237,43471,52941,26878,21655,15093,17979,27512,18585,21616,31368,13902,38862
